"URL","Nid","Post date","Link Category"
"http://kharkhasak.blogspot.fr/","https://filbaan.net/node/682 ","1391-11-19 10:47:21","وبلاگ‌ها"
"http://www.majmaqom.com/","https://filbaan.net/node/678 ","1391-11-19 10:37:49","سازمان‌ها"
"http://www.azadcyber.info/","https://filbaan.net/node/676 ","1391-11-10 14:58:44","فناوری"
"http://www.tabnak.ir","https://filbaan.net/node/674 ","1391-11-10 14:55:39","سایت‌های خبری"
"http://www.karmandnews.ir/","https://filbaan.net/node/663 ","1391-11-04 16:42:35","سایت‌های خبری"
"http://eghtesadaneh.blogspot.fr/","https://filbaan.net/node/673 ","1391-11-04 16:31:36","وبلاگ‌ها"
"http://maryaminaa.blogspot.fr/","https://filbaan.net/node/671 ","1391-11-04 16:28:27","زنان, وبلاگ‌ها"
"http://bidariirani.edublogs.org","https://filbaan.net/node/669 ","1391-11-04 16:22:22","وبلاگ‌ها"
"http://osyan.net/","https://filbaan.net/node/667 ","1391-11-04 16:02:50","فناوری, وبلاگ‌ها"
"http://hemaghat-nakon.blogspot.fr/","https://filbaan.net/node/665 ","1391-11-04 15:47:46","وبلاگ‌ها"
"http://bipolar25.roomfa.com/","https://filbaan.net/node/661 ","1391-10-26 12:57:26",""
"http://saanei.org/","https://filbaan.net/node/659 ","1391-10-26 12:52:33","اشخاص"
"http://www.ayande.ir/","https://filbaan.net/node/657 ","1391-10-26 12:50:22","وبلاگ‌ها"
"http://gollejeh.ir/","https://filbaan.net/node/655 ","1391-10-26 12:47:25","اشخاص, وبلاگ‌ها"
"http://www.shajarian.net/","https://filbaan.net/node/653 ","1391-10-26 12:42:02","اشخاص"
"http://mehdi.saharkhiz.net/","https://filbaan.net/node/651 ","1391-10-26 12:38:01","وبلاگ‌ها"
"http://www.dastgheib.ir/","https://filbaan.net/node/649 ","1391-10-26 12:30:54",""
"http://www.khatami.ir/","https://filbaan.net/node/647 ","1391-10-26 12:27:52","اشخاص"
"http://www.travian.ir/","https://filbaan.net/node/645 ","1391-10-17 16:11:08","فناوری"
"http://isdle.ir/news/","https://filbaan.net/node/641 ","1391-10-15 15:13:20","سازمان‌ها"
"http://saharkhiz.net/","https://filbaan.net/node/643 ","1391-10-15 14:16:00","اشخاص"
"http://www.tgju.ir/","https://filbaan.net/node/639 ","1391-10-15 14:08:16","سازمان‌ها, وب‌سایت‌های دیگر"
"http://www.etehadie.ir/portal/","https://filbaan.net/node/637 ","1391-10-15 14:06:42","سازمان‌ها"
"http://www.baran.org.ir/","https://filbaan.net/node/635 ","1391-09-29 17:18:53","سازمان‌ها"
"http://www.alarabiya.net/default.html","https://filbaan.net/node/632 ","1391-09-29 16:16:42","سایت‌های خبری"
"http://www.emadbaghi.com/","https://filbaan.net/node/630 ","1391-09-29 16:13:16","اشخاص"
"http://bayatzanjani.net/","https://filbaan.net/node/628 ","1391-09-29 16:11:26","اشخاص"
"http://www.bazargan.com/Abdolali","https://filbaan.net/node/626 ","1391-09-29 16:09:14","اشخاص"
"http://simaab.wordpress.com","https://filbaan.net/node/620 ","1391-09-21 11:49:37","وبلاگ‌ها"
"http://hosseinsanapour.blogfa.com/","https://filbaan.net/node/624 ","1391-09-21 10:57:43","اشخاص"
"http://4divari-mani2.blogspot.fr/","https://filbaan.net/node/622 ","1391-09-21 10:54:39","وبلاگ‌ها"
"http://piaderou.com/","https://filbaan.net/node/618 ","1391-09-21 10:45:28","وبلاگ‌ها"
"http://zahedanpress.org/","https://filbaan.net/node/616 ","1391-09-21 10:35:25","سایت‌های خبری"
"http://philldoost.wordpress.com/","https://filbaan.net/node/610 ","1391-09-15 17:37:04","وبلاگ‌ها"
"http://www.mghaed.com/","https://filbaan.net/node/614 ","1391-09-15 16:43:39","اشخاص"
"http://www.madyariran.net","https://filbaan.net/node/612 ","1391-09-15 16:40:05","اشخاص"
"http://dedicatedtobooks.blogspot.fr/","https://filbaan.net/node/608 ","1391-09-15 16:34:40","وبلاگ‌ها"
"http://mostafazizi.com","https://filbaan.net/node/606 ","1391-09-15 16:30:53","اشخاص"
"http://bahmanagha.blogspot.fr/","https://filbaan.net/node/604 ","1391-09-15 16:27:37","وبلاگ‌ها"
